"congress","senator_name","senator_party","senator_state"
"94th","John Tower","R","TX"
"94th","Lloyd Bentsen","D","TX"
"94th","Frank Moss","D","UT"
"94th","Jake Garn","R","UT"
"94th","Harry F. Byrd, Jr.","I","VA"
"94th","William L. Scott","R","VA"
"94th","Robert Stafford","R","VT"
"94th","Patrick Leahy","D","VT"
"94th","Warren G. Magnuson","D","WA"
"94th","Henry M. Jackson","D","WA"
"94th","William Proxmire","D","WI"
"94th","Gaylord Nelson","D","WI"
"94th","Jennings Randolph","D","WV"
"94th","Robert Byrd","D","WV"
"94th","Gale W. McGee","D","WY"
"94th","Clifford Hansen","R","WY"
"93rd","Ted Stevens","R","AK"
"93rd","Mike Gravel","D","AK"
"93rd","John Sparkman","D","AL"
"93rd","James Allen","D","AL"
"93rd","John Little McClellan","D","AR"
"93rd","J. William Fulbright","D","AR"
"93rd","Paul Fannin","R","AZ"
"93rd","Barry Goldwater","R","AZ"
"93rd","Alan Cranston","D","CA"
"93rd","John V. Tunney","D","CA"
"93rd","Peter H. Dominick","R","CO"
"93rd","Floyd K. Haskell","D","CO"
"93rd","Abraham A. Ribicoff","D","CT"
"93rd","Lowell Weicker","R","CT"
"93rd","Bill Roth","R","DE"
"93rd","Joe Biden","D","DE"
"93rd","Edward J. Gurney","R","FL"
"93rd","Lawton Chiles","D","FL"
"93rd","Richard Stone","D","FL"
"93rd","Herman Talmadge","D","GA"
"93rd","Sam Nunn","D","GA"
"93rd","Hiram Fong","R","HI"
"93rd","Daniel Inouye","D","HI"
"93rd","Harold Hughes","D","IA"
"93rd","Richard C. Clark","D","IA"
"93rd","Frank Church","D","ID"
"93rd","James A. McClure","R","ID"
"93rd","Charles H. Percy","R","IL"
"93rd","Adlai Stevenson III","D","IL"
"93rd","Vance Hartke","D","IN"
"93rd","Birch Bayh","D","IN"
"93rd","James B. Pearson","R","KS"
"93rd","Bob Dole","R","KS"
"93rd","Marlow Cook","R","KY"
"93rd","Walter Huddleston","D","KY"
"93rd","Wendell H. Ford","D","KY"
"93rd","Russell B. Long","D","LA"
"93rd","Bennett Johnston Jr.","D","LA"
"93rd","Ted Kennedy","D","MA"
"93rd","Edward Brooke","R","MA"
"93rd","Charles Mathias","R","MD"
"93rd","John Glenn Beall, Jr.","R","MD"
"93rd","Edmund Muskie","D","ME"
"93rd","William Hathaway","D","ME"
"93rd","Philip Hart","D","MI"
"93rd","Robert P. Griffin","R","MI"
"93rd","Walter Mondale","D","MN"
"93rd","Hubert Humphrey","D","MN"
"93rd","Stuart Symington","D","MO"
"93rd","Thomas Eagleton","D","MO"
"93rd","James Eastland","D","MS"
"93rd","John C. Stennis","D","MS"
"93rd","Mike Mansfield","D","MT"
"93rd","Lee Metcalf","D","MT"
"93rd","Sam Ervin","D","NC"
"93rd","Jesse Helms","R","NC"
"93rd","Milton Young","R","ND"
"93rd","Quentin Northrup Burdick","D","ND"
"93rd","Roman Hruska","R","NE"
"93rd","Carl Curtis","R","NE"
"93rd","Norris Cotton","R","NH"
"93rd","Thomas J. McIntyre","D","NH"
"93rd","Louis C. Wyman","R","NH"
"93rd","Clifford P. Case","R","NJ"
"93rd","Harrison A. Williams","D","NJ"
"93rd","Joseph Montoya","D","NM"
"93rd","Pete Domenici","R","NM"
"93rd","Alan Bible","D","NV"
"93rd","Howard Cannon","D","NV"
"93rd","Paul Laxalt","R","NV"
"93rd","Jacob K. Javits","R","NY"
"93rd","James L. Buckley","R","NY"
"93rd","William B. Saxbe","R","OH"
"93rd","Robert Taft, Jr.","R","OH"
"93rd","Howard Metzenbaum","D","OH"
"93rd","John Glenn","D","OH"
"93rd","Henry Bellmon","R","OK"
"93rd","Dewey F. Bartlett","R","OK"
"93rd","Mark Hatfield","R","OR"
"93rd","Bob Packwood","R","OR"
"93rd","Hugh Scott","R","PA"
"93rd","Richard Schweiker","R","PA"
"93rd","John O. Pastore","D","RI"
"93rd","Claiborne Pell","D","RI"
"93rd","Strom Thurmond","R","SC"
"93rd","Ernest Hollings","D","SC"
"93rd","George McGovern","D","SD"
"93rd","James Abourezk","D","SD"
"93rd","Howard Baker","R","TN"
"93rd","Bill Brock","R","TN"
"93rd","John Tower","R","TX"
"93rd","Lloyd Bentsen","D","TX"
"93rd","Wallace F. Bennett","R","UT"
"93rd","Frank Moss","D","UT"
"93rd","Jake Garn","R","UT"
"93rd","Harry F. Byrd, Jr.","I","VA"
"93rd","William L. Scott","R","VA"
"93rd","George Aiken","R","VT"
"93rd","Robert Stafford","R","VT"
"93rd","Warren G. Magnuson","D","WA"
"93rd","Henry M. Jackson","D","WA"
"93rd","William Proxmire","D","WI"
"93rd","Gaylord Nelson","D","WI"
"93rd","Jennings Randolph","D","WV"
"93rd","Robert Byrd","D","WV"
"93rd","Gale W. McGee","D","WY"
"93rd","Clifford Hansen","R","WY"
"92nd","Ted Stevens","R","AK"
"92nd","Mike Gravel","D","AK"
"92nd","John Sparkman","D","AL"
"92nd","James Allen","D","AL"
"92nd","John Little McClellan","D","AR"
"92nd","J. William Fulbright","D","AR"
"92nd","Paul Fannin","R","AZ"
"92nd","Barry Goldwater","R","AZ"
"92nd","Alan Cranston","D","CA"
"92nd","John V. Tunney","D","CA"
"92nd","Gordon L. Allott","R","CO"
"92nd","Peter H. Dominick","R","CO"
"92nd","Abraham A. Ribicoff","D","CT"
"92nd","Lowell Weicker","R","CT"
"92nd","James Boggs","R","DE"
"92nd","Bill Roth","R","DE"
"92nd","Edward J. Gurney","R","FL"
"92nd","Lawton Chiles","D","FL"
"92nd","Richard Russell, Jr.","D","GA"
"92nd","Herman Talmadge","D","GA"
"92nd","David H. Gambrell","D","GA"
"92nd","Sam Nunn","D","GA"
"92nd","Hiram Fong","R","HI"
"92nd","Daniel Inouye","D","HI"
"92nd","Jack Miller","R","IA"
"92nd","Harold Hughes","D","IA"
"92nd","Frank Church","D","ID"
"92nd","Leonard B. Jordan","R","ID"
"92nd","Charles H. Percy","R","IL"
"92nd","Adlai Stevenson III","D","IL"
"92nd","Vance Hartke","D","IN"
"92nd","Birch Bayh","D","IN"
"92nd","James B. Pearson","R","KS"
"92nd","Bob Dole","R","KS"
"92nd","John Sherman Cooper","R","KY"
"92nd","Marlow Cook","R","KY"
"92nd","Allen J. Ellender","D","LA"
"92nd","Russell B. Long","D","LA"
"92nd","Elaine S. Edwards","D","LA"
"92nd","Bennett Johnston Jr.","D","LA"
"92nd","Ted Kennedy","D","MA"
"92nd","Edward Brooke","R","MA"
"92nd","Charles Mathias","R","MD"
"92nd","John Glenn Beall, Jr.","R","MD"
"92nd","Margaret Chase Smith","R","ME"
"92nd","Edmund Muskie","D","ME"
"92nd","Philip Hart","D","MI"
"92nd","Robert P. Griffin","R","MI"
"92nd","Walter Mondale","D","MN"
"92nd","Hubert Humphrey","D","MN"
"92nd","Stuart Symington","D","MO"
"92nd","Thomas Eagleton","D","MO"
"92nd","James Eastland","D","MS"
"92nd","John C. Stennis","D","MS"
"92nd","Mike Mansfield","D","MT"
"92nd","Lee Metcalf","D","MT"
"92nd","Sam Ervin","D","NC"
"92nd","Ben Jordan","D","NC"
"92nd","Milton Young","R","ND"
"92nd","Quentin Northrup Burdick","D","ND"
"92nd","Roman Hruska","R","NE"
"92nd","Carl Curtis","R","NE"
"92nd","Norris Cotton","R","NH"
"92nd","Thomas J. McIntyre","D","NH"
"92nd","Clifford P. Case","R","NJ"
"92nd","Harrison A. Williams","D","NJ"
"92nd","Clinton Anderson","D","NM"
"92nd","Joseph Montoya","D","NM"
"92nd","Alan Bible","D","NV"
"92nd","Howard Cannon","D","NV"
"92nd","Jacob K. Javits","R","NY"
"92nd","James L. Buckley","R","NY"
"92nd","William B. Saxbe","R","OH"
"92nd","Robert Taft, Jr.","R","OH"
"92nd","Fred R. Harris","D","OK"
"92nd","Henry Bellmon","R","OK"
"92nd","Mark Hatfield","R","OR"
"92nd","Bob Packwood","R","OR"
"92nd","Hugh Scott","R","PA"
"92nd","Richard Schweiker","R","PA"
"92nd","John O. Pastore","D","RI"
"92nd","Claiborne Pell","D","RI"
"92nd","Strom Thurmond","R","SC"
"92nd","Ernest Hollings","D","SC"
"92nd","Karl Mundt","R","SD"
"92nd","George McGovern","D","SD"
"92nd","Howard Baker","R","TN"
"92nd","Bill Brock","R","TN"
"92nd","John Tower","R","TX"
"92nd","Lloyd Bentsen","D","TX"
"92nd","Wallace F. Bennett","R","UT"
"92nd","Frank Moss","D","UT"
"92nd","Harry F. Byrd, Jr.","I","VA"
"92nd","William B. Spong, Jr.","D","VA"
"92nd","George Aiken","R","VT"
"92nd","Winston L. Prouty","R","VT"
"92nd","Robert Stafford","R","VT"
"92nd","Warren G. Magnuson","D","WA"
"92nd","Henry M. Jackson","D","WA"
"92nd","William Proxmire","D","WI"
"92nd","Gaylord Nelson","D","WI"
"92nd","Jennings Randolph","D","WV"
"92nd","Robert Byrd","D","WV"
"92nd","Gale W. McGee","D","WY"
"92nd","Clifford Hansen","R","WY"
"91st","Ted Stevens","R","AK"
"91st","Mike Gravel","D","AK"
"91st","John Sparkman","D","AL"
"91st","James Allen","D","AL"
"91st","John Little McClellan","D","AR"
"91st","J. William Fulbright","D","AR"
"91st","Paul Fannin","R","AZ"
"91st","Barry Goldwater","R","AZ"
"91st","George Murphy","R","CA"
"91st","Alan Cranston","D","CA"
"91st","John V. Tunney","D","CA"
"91st","Gordon L. Allott","R","CO"
"91st","Peter H. Dominick","R","CO"
"91st","Thomas J. Dodd","D","CT"
"91st","Abraham A. Ribicoff","D","CT"
"91st","John J. Williams","R","DE"
"91st","James Boggs","R","DE"
"91st","Bill Roth","R","DE"
"91st","Spessard Holland","D","FL"
"91st","Edward J. Gurney","R","FL"
"91st","Richard Russell, Jr.","D","GA"
"91st","Herman Talmadge","D","GA"
"91st","Hiram Fong","R","HI"
"91st","Daniel Inouye","D","HI"
"91st","Jack Miller","R","IA"
"91st","Harold Hughes","D","IA"
"91st","Frank Church","D","ID"
"91st","Leonard B. Jordan","R","ID"
"91st","Everett Dirksen","R","IL"
"91st","Charles H. Percy","R","IL"
"91st","Ralph Smith","R","IL"
"91st","Adlai Stevenson III","D","IL"
"91st","Vance Hartke","D","IN"
"91st","Birch Bayh","D","IN"
"91st","James B. Pearson","R","KS"
"91st","Bob Dole","R","KS"
"91st","John Sherman Cooper","R","KY"
"91st","Marlow Cook","R","KY"
"91st","Allen J. Ellender","D","LA"
"91st","Russell B. Long","D","LA"
"91st","Ted Kennedy","D","MA"
"91st","Edward Brooke","R","MA"
"91st","Joseph Tydings","D","MD"
"91st","Charles Mathias","R","MD"
"91st","Margaret Chase Smith","R","ME"
"91st","Edmund Muskie","D","ME"
"91st","Philip Hart","D","MI"
"91st","Robert P. Griffin","R","MI"
"91st","Eugene McCarthy","D","MN"
"91st","Walter Mondale","D","MN"
"91st","Stuart Symington","D","MO"
"91st","Thomas Eagleton","D","MO"
"91st","James Eastland","D","MS"
"91st","John C. Stennis","D","MS"
"91st","Mike Mansfield","D","MT"
"91st","Lee Metcalf","D","MT"
"91st","Sam Ervin","D","NC"
"91st","Ben Jordan","D","NC"
"91st","Milton Young","R","ND"
"91st","Quentin Northrup Burdick","D","ND"
"91st","Roman Hruska","R","NE"
"91st","Carl Curtis","R","NE"
"91st","Norris Cotton","R","NH"
"91st","Thomas J. McIntyre","D","NH"
"91st","Clifford P. Case","R","NJ"
"91st","Harrison A. Williams","D","NJ"
"91st","Clinton Anderson","D","NM"
"91st","Joseph Montoya","D","NM"
"91st","Alan Bible","D","NV"
"91st","Howard Cannon","D","NV"
"91st","Jacob K. Javits","R","NY"
"91st","Charles Goodell","R","NY"
"91st","Stephen Young","D","OH"
"91st","William B. Saxbe","R","OH"
"91st","Fred R. Harris","D","OK"
"91st","Henry Bellmon","R","OK"
"91st","Mark Hatfield","R","OR"
"91st","Bob Packwood","R","OR"
"91st","Hugh Scott","R","PA"
"91st","Richard Schweiker","R","PA"
"91st","John O. Pastore","D","RI"
"91st","Claiborne Pell","D","RI"
"91st","Strom Thurmond","R","SC"
"91st","Ernest Hollings","D","SC"
"91st","Karl Mundt","R","SD"
"91st","George McGovern","D","SD"
"91st","Albert Gore, Sr.","D","TN"
"91st","Howard Baker","R","TN"
"91st","Ralph Yarborough","D","TX"
"91st","John Tower","R","TX"
"91st","Wallace F. Bennett","R","UT"
"91st","Frank Moss","D","UT"
"91st","Harry F. Byrd, Jr.","D","VA"
"91st","William B. Spong, Jr.","D","VA"
"91st","George Aiken","R","VT"
"91st","Winston L. Prouty","R","VT"
"91st","Warren G. Magnuson","D","WA"
"91st","Henry M. Jackson","D","WA"
"91st","William Proxmire","D","WI"
"91st","Gaylord Nelson","D","WI"
"91st","Jennings Randolph","D","WV"
"91st","Robert Byrd","D","WV"
"91st","Gale W. McGee","D","WY"
"91st","Clifford Hansen","R","WY"
"90th","Edward L. Bartlett","D","AK"
"90th","Ernest Gruening","D","AK"
"90th","Ted Stevens","R","AK"
"90th","Joseph L. Hill","D","AL"
"90th","John Sparkman","D","AL"
"90th","John Little McClellan","D","AR"
"90th","J. William Fulbright","D","AR"
"90th","Carl Hayden","D","AZ"
"90th","Paul Fannin","R","AZ"
"90th","Thomas Kuchel","R","CA"
"90th","George Murphy","R","CA"
"90th","Gordon L. Allott","R","CO"
"90th","Peter H. Dominick","R","CO"
"90th","Thomas J. Dodd","D","CT"
"90th","Abraham A. Ribicoff","D","CT"
"90th","John J. Williams","R","DE"
"90th","James Boggs","R","DE"
"90th","Spessard Holland","D","FL"
"90th","George Smathers","D","FL"
"90th","Richard Russell, Jr.","D","GA"
"90th","Herman Talmadge","D","GA"
"90th","Hiram Fong","R","HI"
"90th","Daniel Inouye","D","HI"
"90th","Bourke B. Hickenlooper","R","IA"
"90th","Jack Miller","R","IA"
"90th","Frank Church","D","ID"
"90th","Leonard B. Jordan","R","ID"
"90th","Everett Dirksen","R","IL"
"90th","Charles H. Percy","R","IL"
"90th","Vance Hartke","D","IN"
"90th","Birch Bayh","D","IN"
"90th","Frank Carlson","R","KS"
"90th","James B. Pearson","R","KS"
"90th","John Sherman Cooper","R","KY"
"90th","Thruston Ballard Morton","R","KY"
"90th","Marlow Cook","R","KY"
"90th","Allen J. Ellender","D","LA"
"90th","Russell B. Long","D","LA"
"90th","Ted Kennedy","D","MA"
"90th","Edward Brooke","R","MA"
"90th","Daniel Brewster","D","MD"
"90th","Joseph Tydings","D","MD"
"90th","Margaret Chase Smith","R","ME"
"90th","Edmund Muskie","D","ME"
"90th","Philip Hart","D","MI"
"90th","Robert P. Griffin","R","MI"
"90th","Eugene McCarthy","D","MN"
"90th","Walter Mondale","D","MN"
"90th","Stuart Symington","D","MO"
"90th","Edward V. Long","D","MO"
"90th","Thomas Eagleton","D","MO"
"90th","James Eastland","D","MS"
"90th","John C. Stennis","D","MS"
"90th","Mike Mansfield","D","MT"
"90th","Lee Metcalf","D","MT"
"90th","Sam Ervin","D","NC"
"90th","B. Everett Jordan","D","NC"
"90th","Milton Young","R","ND"
"90th","Quentin Northrup Burdick","D","ND"
"90th","Roman Hruska","R","NE"
"90th","Carl Curtis","R","NE"
"90th","Norris Cotton","R","NH"
"90th","Thomas J. McIntyre","D","NH"
"90th","Clifford P. Case","R","NJ"
"90th","Harrison A. Williams","D","NJ"
"90th","Clinton Anderson","D","NM"
"90th","Joseph Montoya","D","NM"
"90th","Alan Bible","D","NV"
"90th","Howard Cannon","D","NV"
"90th","Jacob K. Javits","R","NY"
"90th","Robert F. Kennedy","D","NY"
"90th","Charles Goodell","R","NY"
"90th","Frank J. Lausche","D","OH"
"90th","Stephen Young","D","OH"
"90th","Almer Monroney","D","OK"
"90th","Fred R. Harris","D","OK"
"90th","Wayne Morse","D","OR"
"90th","Mark Hatfield","R","OR"
"90th","Joseph S. Clark","D","PA"
"90th","Hugh Scott","R","PA"
"90th","John O. Pastore","D","RI"
"90th","Claiborne Pell","D","RI"
"90th","Strom Thurmond","R","SC"
"90th","Ernest Hollings","D","SC"
"90th","Karl Mundt","R","SD"
"90th","George McGovern","D","SD"
"90th","Albert Gore, Sr.","D","TN"
"90th","Howard Baker","R","TN"
"90th","Ralph Yarborough","D","TX"
"90th","John Tower","R","TX"
"90th","Wallace F. Bennett","R","UT"
"90th","Frank Moss","D","UT"
"90th","Harry F. Byrd, Jr.","D","VA"
"90th","William B. Spong, Jr.","D","VA"
"90th","George Aiken","R","VT"
"90th","Winston L. Prouty","R","VT"
"90th","Warren G. Magnuson","D","WA"
"90th","Henry M. Jackson","D","WA"
"90th","William Proxmire","D","WI"
"90th","Gaylord Nelson","D","WI"
"90th","Jennings Randolph","D","WV"
"90th","Robert Byrd","D","WV"
"90th","Gale W. McGee","D","WY"
"90th","Clifford Hansen","R","WY"
"89th","Edward L. Bartlett","D","AK"
"89th","Ernest Gruening","D","AK"
"89th","Joseph L. Hill","D","AL"
"89th","John Sparkman","D","AL"
"89th","John Little McClellan","D","AR"
"89th","J. William Fulbright","D","AR"
"89th","Carl Hayden","D","AZ"
"89th","Paul Fannin","R","AZ"
"89th","Thomas Kuchel","R","CA"
"89th","George Murphy","R","CA"
"89th","Gordon L. Allott","R","CO"
"89th","Peter H. Dominick","R","CO"
"89th","Thomas J. Dodd","D","CT"
"89th","Abraham A. Ribicoff","D","CT"
"89th","John J. Williams","R","DE"
"89th","James Boggs","R","DE"
"89th","Spessard Holland","D","FL"
"89th","George Smathers","D","FL"
"89th","Richard Russell, Jr.","D","GA"
"89th","Herman Talmadge","D","GA"
"89th","Hiram Fong","R","HI"
"89th","Daniel Inouye","D","HI"
"89th","Bourke B. Hickenlooper","R","IA"
"89th","Jack Miller","R","IA"
"89th","Frank Church","D","ID"
"89th","Leonard B. Jordan","R","ID"
"89th","Paul Douglas","D","IL"
"89th","Everett Dirksen","R","IL"
"89th","Vance Hartke","D","IN"
"89th","Birch Bayh","D","IN"
"89th","Frank Carlson","R","KS"
"89th","James B. Pearson","R","KS"
"89th","John Sherman Cooper","R","KY"
"89th","Thruston Ballard Morton","R","KY"
"89th","Allen J. Ellender","D","LA"
"89th","Russell B. Long","D","LA"
"89th","Leverett Saltonstall","R","MA"
"89th","Ted Kennedy","D","MA"
"89th","Daniel Brewster","D","MD"
"89th","Joseph Tydings","D","MD"
"89th","Margaret Chase Smith","R","ME"
"89th","Edmund Muskie","D","ME"
"89th","Patrick V. McNamara","D","MI"
"89th","Philip Hart","D","MI"
"89th","Robert P. Griffin","R","MI"
"89th","Eugene McCarthy","D","MN"
"89th","Walter Mondale","D","MN"
"89th","Stuart Symington","D","MO"
"89th","Edward V. Long","D","MO"
"89th","James Eastland","D","MS"
"89th","John C. Stennis","D","MS"
"89th","Mike Mansfield","D","MT"
"89th","Lee Metcalf","D","MT"
"89th","Sam Ervin","D","NC"
"89th","Ben Jordan","D","NC"
"89th","Milton Young","R","ND"
"89th","Quentin Northrup Burdick","D","ND"
"89th","Roman Hruska","R","NE"
"89th","Carl Curtis","R","NE"
"89th","Norris Cotton","R","NH"
"89th","Thomas J. McIntyre","D","NH"
"89th","Clifford P. Case","R","NJ"
"89th","Harrison A. Williams","D","NJ"
"89th","Clinton Anderson","D","NM"
"89th","Joseph Montoya","D","NM"
"89th","Alan Bible","D","NV"
"89th","Howard Cannon","D","NV"
"89th","Jacob K. Javits","R","NY"
"89th","Robert F. Kennedy","D","NY"
"89th","Frank J. Lausche","D","OH"
"89th","Stephen Young","D","OH"
"89th","Almer Monroney","D","OK"
"89th","Fred R. Harris","D","OK"
"89th","Wayne Morse","D","OR"
"89th","Maurine Neuberger","D","OR"
"89th","Joseph S. Clark","D","PA"
"89th","Hugh Scott","R","PA"
"89th","John O. Pastore","D","RI"
"89th","Claiborne Pell","D","RI"
"89th","Olin D. Johnston","D","SC"
"89th","Strom Thurmond","R","SC"
"89th","Donald S. Russell","D","SC"
"89th","Ernest Hollings","D","SC"
"89th","Karl Mundt","R","SD"
"89th","George McGovern","D","SD"
"89th","Albert Gore, Sr.","D","TN"
"89th","Ross Bass","D","TN"
"89th","Ralph Yarborough","D","TX"
"89th","John Tower","R","TX"
"89th","Wallace F. Bennett","R","UT"
"89th","Frank Moss","D","UT"
"89th","Harry F. Byrd, Sr.","D","VA"
"89th","A. Willis Robertson","D","VA"
"89th","Harry F. Byrd, Jr.","D","VA"
"89th","William B. Spong, Jr.","D","VA"
"89th","George Aiken","R","VT"
"89th","Winston L. Prouty","R","VT"
"89th","Warren G. Magnuson","D","WA"
"89th","Henry M. Jackson","D","WA"
"89th","William Proxmire","D","WI"
"89th","Gaylord Nelson","D","WI"
"89th","Jennings Randolph","D","WV"
"89th","Robert Byrd","D","WV"
"89th","Gale W. McGee","D","WY"
"89th","Milward L. Simpson","R","WY"
"88th","Edward L. Bartlett","D","AK"
"88th","Ernest Gruening","D","AK"
"88th","Joseph L. Hill","D","AL"
"88th","John Sparkman","D","AL"
"88th","John Little McClellan","D","AR"
"88th","J. William Fulbright","D","AR"
"88th","Carl Hayden","D","AZ"
"88th","Barry Goldwater","R","AZ"
"88th","Thomas Kuchel","R","CA"
"88th","Clair Engle","D","CA"
"88th","Pierre Salinger","D","CA"
"88th","George Murphy","R","CA"
"88th","Gordon L. Allott","R","CO"
"88th","Peter H. Dominick","R","CO"
"88th","Thomas J. Dodd","D","CT"
"88th","Abraham A. Ribicoff","D","CT"
"88th","John J. Williams","R","DE"
"88th","James Boggs","R","DE"
"88th","Spessard Holland","D","FL"
"88th","George Smathers","D","FL"
"88th","Richard Russell, Jr.","D","GA"
"88th","Herman Talmadge","D","GA"
"88th","Hiram Fong","R","HI"
"88th","Daniel Inouye","D","HI"
"88th","Bourke B. Hickenlooper","R","IA"
"88th","Jack Miller","R","IA"
"88th","Frank Church","D","ID"
"88th","Leonard B. Jordan","R","ID"
"88th","Paul Douglas","D","IL"
"88th","Everett Dirksen","R","IL"
"88th","Vance Hartke","D","IN"
"88th","Birch Bayh","D","IN"
"88th","Frank Carlson","R","KS"
"88th","James B. Pearson","R","KS"
"88th","John Sherman Cooper","R","KY"
"88th","Thruston Ballard Morton","R","KY"
"88th","Allen J. Ellender","D","LA"
"88th","Russell B. Long","D","LA"
"88th","Leverett Saltonstall","R","MA"
"88th","Ted Kennedy","D","MA"
"88th","James Glenn Beall","R","MD"
"88th","Daniel Brewster","D","MD"
"88th","Margaret Chase Smith","R","ME"
"88th","Edmund Muskie","D","ME"
"88th","Patrick V. McNamara","D","MI"
"88th","Philip Hart","D","MI"
"88th","Hubert Humphrey","D","MN"
"88th","Eugene McCarthy","D","MN"
"88th","Walter Mondale","D","MN"
"88th","Stuart Symington","D","MO"
"88th","Edward V. Long","D","MO"
"88th","James Eastland","D","MS"
"88th","John C. Stennis","D","MS"
"88th","Mike Mansfield","D","MT"
"88th","Lee Metcalf","D","MT"
"88th","Sam Ervin","D","NC"
"88th","Ben Jordan","D","NC"
"88th","Milton Young","R","ND"
"88th","Quentin Northrup Burdick","D","ND"
"88th","Roman Hruska","R","NE"
"88th","Carl Curtis","R","NE"
"88th","Norris Cotton","R","NH"
"88th","Thomas J. McIntyre","D","NH"
"88th","Clifford P. Case","R","NJ"
"88th","Harrison A. Williams","D","NJ"
"88th","Clinton Anderson","D","NM"
"88th","Edwin L. Mechem","R","NM"
"88th","Joseph Montoya","D","NM"
"88th","Alan Bible","D","NV"
"88th","Howard Cannon","D","NV"
"88th","Jacob K. Javits","R","NY"
"88th","Kenneth Keating","R","NY"
"88th","Frank J. Lausche","D","OH"
"88th","Stephen Young","D","OH"
"88th","Almer Monroney","D","OK"
"88th","J. Howard Edmondson","D","OK"
"88th","Fred R. Harris","D","OK"
"88th","Wayne Morse","D","OR"
"88th","Maurine Neuberger","D","OR"
"88th","Joseph S. Clark","D","PA"
"88th","Hugh Scott","R","PA"
"88th","John O. Pastore","D","RI"
"88th","Claiborne Pell","D","RI"
"88th","Olin D. Johnston","D","SC"
"88th","Strom Thurmond","D","SC"
"88th","Karl Mundt","R","SD"
"88th","George McGovern","D","SD"
"88th","Estes Kefauver","D","TN"
"88th","Albert Gore, Sr.","D","TN"
"88th","Herbert S. Walters","D","TN"
"88th","Ross Bass","D","TN"
"88th","Ralph Yarborough","D","TX"
"88th","John Tower","R","TX"
"88th","Wallace F. Bennett","R","UT"
"88th","Frank Moss","D","UT"
"88th","Harry F. Byrd, Sr.","D","VA"
"88th","A. Willis Robertson","D","VA"
"88th","George Aiken","R","VT"
"88th","Winston L. Prouty","R","VT"
"88th","Warren G. Magnuson","D","WA"
"88th","Henry M. Jackson","D","WA"
"88th","William Proxmire","D","WI"
"88th","Gaylord Nelson","D","WI"
"88th","Jennings Randolph","D","WV"
"88th","Robert Byrd","D","WV"
"88th","Gale W. McGee","D","WY"
"88th","Milward L. Simpson","R","WY"
"87th","Edward L. Bartlett","D","AK"
"87th","Ernest Gruening","D","AK"
"87th","Joseph L. Hill","D","AL"
"87th","John Sparkman","D","AL"
"87th","John Little McClellan","D","AR"
"87th","J. William Fulbright","D","AR"
"87th","Carl Hayden","D","AZ"
"87th","Barry Goldwater","R","AZ"
"87th","Thomas Kuchel","R","CA"
"87th","Clair Engle","D","CA"
"87th","Gordon L. Allott","R","CO"
"87th","John A. Carroll","D","CO"
"87th","Prescott Bush","R","CT"
"87th","Thomas J. Dodd","D","CT"
"87th","John J. Williams","R","DE"
"87th","James Boggs","R","DE"
"87th","Spessard Holland","D","FL"
"87th","George Smathers","D","FL"
"87th","Richard Russell, Jr.","D","GA"
"87th","Herman Talmadge","D","GA"
"87th","Oren E. Long","D","HI"
"87th","Hiram Fong","R","HI"
"87th","Bourke B. Hickenlooper","R","IA"
"87th","Jack Miller","R","IA"
"87th","Henry Dworshak","R","ID"
"87th","Frank Church","D","ID"
"87th","Leonard B. Jordan","R","ID"
"87th","Paul Douglas","D","IL"
"87th","Everett Dirksen","R","IL"
"87th","Homer E. Capehart","R","IN"
"87th","Vance Hartke","D","IN"
"87th","Andrew F. Schoeppel","R","KS"
"87th","Frank Carlson","R","KS"
"87th","James B. Pearson","R","KS"
"87th","John Sherman Cooper","R","KY"
"87th","Thruston Ballard Morton","R","KY"
"87th","Allen J. Ellender","D","LA"
"87th","Russell B. Long","D","LA"
"87th","Leverett Saltonstall","R","MA"
"87th","Benjamin A. Smith II","D","MA"
"87th","Ted Kennedy","D","MA"
"87th","John M. Butler","R","MD"
"87th","James Glenn Beall","R","MD"
"87th","Margaret Chase Smith","R","ME"
"87th","Edmund Muskie","D","ME"
"87th","Patrick V. McNamara","D","MI"
"87th","Philip Hart","D","MI"
"87th","Hubert Humphrey","D","MN"
"87th","Eugene McCarthy","D","MN"
"87th","Stuart Symington","D","MO"
"87th","Edward V. Long","D","MO"
"87th","James Eastland","D","MS"
"87th","John C. Stennis","D","MS"
"87th","Mike Mansfield","D","MT"
"87th","Lee Metcalf","D","MT"
"87th","Sam Ervin","D","NC"
"87th","Ben Jordan","D","NC"
"87th","Milton Young","R","ND"
"87th","Quentin Northrup Burdick","D","ND"
"87th","Roman Hruska","R","NE"
"87th","Carl Curtis","R","NE"
"87th","Styles Bridges","R","NH"
"87th","Norris Cotton","R","NH"
"87th","Maurice J. Murphy, Jr.","R","NH"
"87th","Thomas J. McIntyre","D","NH"
"87th","Clifford P. Case","R","NJ"
"87th","Harrison A. Williams","D","NJ"
"87th","Dennis Chavez","D","NM"
"87th","Clinton Anderson","D","NM"
"87th","Edwin L. Mechem","R","NM"
"87th","Alan Bible","D","NV"
"87th","Howard Cannon","D","NV"
"87th","Jacob K. Javits","R","NY"
"87th","Kenneth Keating","R","NY"
"87th","Frank J. Lausche","D","OH"
"87th","Stephen Young","D","OH"
"87th","Robert S. Kerr","D","OK"
"87th","Almer Monroney","D","OK"
"87th","Wayne Morse","D","OR"
